"","phn","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","pc11","pc12","pc13","pc14","pc15","pc16","pc17","pc18","pc19","pc20","pfna"
"802","ax-h",18.49743,-11.11665,1.368515,-0.1025597,-4.928564,6.572679,9.684782,-4.81556,-9.121756,0.6729747,-2.645983,-5.699512,-1.244723,4.106394,-3.277905,-0.6174958,1.118361,-5.301775,0.2042905,-1.183635,"X"
"803","bcl",18.19815,-1.39312,3.969771,6.714939,-6.385075,3.326585,6.546159,-1.809138,-6.196838,3.735304,-1.694807,-1.027027,-7.103586,8.066474,-6.062879,2.379783,3.506854,-1.170574,-2.979064,-1.774994,"P"
"804","b",-3.530799,1.324461,13.59136,-9.418183,3.428159,3.399705,-5.02361,7.883438,0.03695703,-7.148719,2.429049,2.754487,2.278601,-1.797036,6.316169,-11.98295,-1.441458,1.740926,5.14654,1.980798,"P"
"805","el",-9.094627,-10.50947,7.112922,-10.97839,3.352787,1.991835,-3.289084,11.24055,-3.039838,-4.32685,4.919682,0.966674,1.650513,3.859104,2.945149,-9.213169,2.065271,-1.42597,3.904657,3.124643,"A"
"806","l",11.64192,-2.667493,-9.677847,-2.250409,3.18976,2.232825,-0.8626945,1.834815,-13.5216,16.2243,-8.950326,6.40753,-3.263075,-7.523294,-6.459981,2.359857,-3.276996,-1.661078,8.734789,-2.381802,"A"
"807","eh",-12.12944,-5.093771,6.577138,5.660817,-6.463854,7.68276,0.009968958,-8.474411,-7.073482,1.502453,8.534404,-1.619249,5.634867,-10.56877,10.83215,-5.671796,5.38604,7.094183,-1.266097,-6.873923,"A"
"808","v",10.8113,-9.469486,-3.178553,11.02987,1.995115,-2.777659,-0.8662293,0.8737417,-7.780851,3.801979,-0.795567,-3.651333,-6.27172,12.49526,2.889197,11.76688,2.67537,-1.925538,-0.6674692,4.222353,"F"
"809","el",-5.501351,-1.587889,17.28021,-2.91847,-0.1490817,7.887161,0.6697147,-1.468156,2.604117,-2.298144,-2.553529,0.728836,2.034409,-2.652727,3.053659,-5.928991,0.4078422,1.397044,-0.637394,-0.3262127,"A"
"810","s",7.203835,13.61668,-0.322209,0.4398863,0.5401594,0.4020449,2.120198,-1.386885,1.627626,-0.2024602,-0.4836387,-2.545005,0.5256569,-0.7004457,-0.2415927,-0.129423,0.7268335,1.318784,-0.9045972,1.029471,"F"
"811","m",-0.7805116,-1.538358,3.940351,-1.404497,-2.140747,-3.638733,-1.669676,-0.1506737,-0.0706974,1.898924,-4.440911,1.775164,0.2013891,-4.795068,-2.843708,-2.490342,5.717728,2.472312,-4.830148,7.200835,"N"
"812","aa",-2.898786,-7.11555,-8.192147,-4.434375,-5.775511,-14.01982,-1.737618,-5.069063,-3.263633,2.712353,5.995122,-3.356431,-1.509815,-0.5995674,0.7517696,-0.9269897,1.216769,-3.517553,7.961786,4.842043,"A"
"813","m",-10.8535,11.09922,-5.713169,2.737278,4.437668,0.04560014,4.771485,-4.226632,-2.456075,0.06559516,5.054092,-0.4616165,-0.514481,0.02788863,-3.947833,0.6389167,3.714645,-3.463949,-1.100744,-3.926757,"N"
"814","s",11.52846,2.336897,-5.249029,-5.507101,1.686996,1.254961,-1.036115,-1.947027,-1.608007,-1.073699,-1.193753,-1.471299,5.619252,-5.469025,-6.758671,-1.710753,1.434062,2.188131,-1.969868,3.814127,"F"
"815","tcl",10.20274,1.970643,6.745183,-7.248022,-8.727426,-1.709877,-0.3630391,-7.548625,3.843872,3.60412,-3.751835,1.45672,0.8037437,-3.575834,-6.740212,4.411306,2.61849,2.0815,4.583898,0.9920868,"P"
"816","t",-6.768615,-2.919425,5.463086,-4.761525,-9.845559,-3.100179,-0.8507231,-1.335853,-0.3079868,0.439024,-0.698052,-6.306213,-1.31617,-2.914688,-4.617277,0.4789802,0.5440377,7.028049,4.636537,-0.9434143,"P"
"817","r",-11.3303,-2.751056,-1.53478,-3.281701,-6.552467,-11.66338,-2.362164,1.950825,-0.3708659,-1.507858,3.949245,-11.70733,-2.309871,-1.017163,0.405046,0.1897761,0.417453,8.545999,0.6230815,0.5052759,"A"
"818","ao",-4.8052,-4.530429,-4.0332,-2.947765,1.284396,-12.23344,4.526812,4.2553,0.456417,-1.52464,5.768769,-7.602996,-4.168462,-6.500119,3.90779,3.28452,1.641234,-1.80172,0.4506436,-0.6151086,"A"
"819","ng",2.575331,1.178322,9.673328,8.179056,12.4879,-2.169301,0.9446037,-2.499097,1.869706,-1.330175,-1.982816,-1.143175,0.6316951,1.114715,-2.958108,3.034332,-2.383536,-4.973034,3.39483,-0.6944212,"N"
"820","l",-8.853023,6.316588,6.640716,-3.799756,5.599993,0.7703008,-4.746819,-7.207242,-7.217556,2.126301,5.442599,-1.360976,-2.218616,0.8545483,3.808693,0.2579644,2.588176,-1.98173,2.65631,1.09828,"A"
"821","iy",0.3498745,-7.178256,-9.560361,-0.01965031,2.265448,7.726646,1.57737,5.043141,9.095394,2.016875,6.741722,1.634756,-0.8571533,-3.356182,-2.966989,-0.2382134,4.799739,-4.117028,0.9239381,-1.236427,"A"
"822","dcl",2.469716,12.82865,8.269269,4.732762,2.972677,0.3151397,-6.551584,-0.6676337,0.3507362,8.138476,-5.068454,-1.658551,5.945817,3.56538,4.393539,-0.1498738,1.631325,0.4946917,2.064182,2.722358,"P"
"823","d",-13.43011,3.166453,2.497177,-7.4086,1.266366,8.079962,2.209379,-7.52941,4.018305,1.140161,0.9931584,0.2217284,-1.539825,-0.7108932,0.7359023,1.763857,1.641784,3.057789,-1.442083,1.739732,"P"
"824","ix",-12.01152,4.122209,-7.690991,-1.395354,-2.652473,10.32544,2.027644,-2.545521,-1.784689,0.3213889,4.669364,-2.012443,-1.428849,-1.042175,-0.7798979,-2.119199,-3.78957,2.934321,-1.041226,1.161228,"A"
"825","s",6.652805,7.011851,-10.35515,0.7001704,-0.9742608,0.1865911,0.715434,7.60801,5.209926,5.083573,1.545469,-3.575292,4.132872,0.7257773,1.918776,-2.744394,8.113472,-0.1175649,-0.7957034,1.866781,"F"
"826","epi",7.460939,-7.855088,4.99456,-4.074057,6.395213,1.652334,-4.178514,-5.903861,4.464091,5.251805,-0.0248795,0.9370665,-2.480092,1.318178,1.737675,2.261354,6.903696,-1.377678,3.179299,-7.582845,"X"
"827","l",-0.1345791,-10.5869,7.055103,2.68291,3.912801,7.079747,-3.299363,-6.171835,4.587907,0.4413988,4.050153,-0.2200427,-3.498213,-0.994829,0.6384968,2.140922,2.47042,3.872314,0.1595473,-2.074575,"A"
"828","ay",-15.02588,6.019099,0.284879,0.02553603,-0.8077976,0.4246397,-8.784858,2.684851,4.301413,4.165736,0.9320777,-4.482873,3.084698,-0.2443763,3.042039,2.702788,3.36313,-2.261839,-1.170704,1.514305,"A"
"829","kcl",4.466489,12.64268,-10.71949,-0.5308857,-1.219296,-0.3385966,-3.259873,2.474769,-3.237287,3.43574,-1.636445,-4.614828,0.05487305,2.308197,6.297498,-0.5624647,-0.911931,2.068977,0.2381034,0.3585412,"P"
"830","k",12.89207,6.076204,-5.799448,-9.961224,-0.2571605,-1.280683,-0.139286,1.048519,3.717457,1.062232,-0.8641593,-4.297401,-0.08400589,4.104174,5.228844,-1.856639,-0.07548598,0.5861206,-0.4765139,5.11826,"P"
"831","s",15.82164,-3.224829,-1.274024,-8.721543,-0.9408051,1.243117,8.513999,2.035736,-1.409033,2.171629,2.351195,-1.130902,3.6804,-6.18445,4.720227,0.5396664,2.920313,-3.444799,0.6498538,4.531456,"F"
"832","q",12.56908,-1.545829,10.7127,1.862095,3.044007,0.2516755,4.047283,3.92733,6.518782,5.653216,-0.6769809,5.737052,-0.03925846,6.066744,-6.44038,4.295121,-2.760823,-0.6659514,-2.820384,4.324707,"P"
"833","ae",-15.18424,-1.711833,-5.1254,-9.536707,3.7316,-5.33635,-5.948308,-0.3029349,-4.819206,3.44068,11.4738,2.198313,-3.751676,6.321524,2.848638,-0.5414895,3.115339,5.545669,0.4856333,5.831919,"A"
"834","pcl",6.172389,9.685699,6.749076,18.28122,-0.2796817,4.192445,-2.590593,2.591473,-3.010165,4.616554,-1.485242,1.432373,4.782008,7.25311,-5.126986,-2.698421,0.4201549,-1.183618,0.2292032,1.806456,"P"
"835","p",-8.631296,7.208906,6.11132,-14.99484,4.349189,1.651703,-3.067436,-2.949,1.954329,2.411444,-2.147706,1.242116,0.3946714,-2.195939,5.370221,-2.298355,5.727769,1.765091,1.327398,-1.777986,"P"
"836","ix",-8.398281,-8.217283,-9.133781,-6.648873,-0.2145141,7.977572,0.08727795,-4.090118,-1.56071,-4.722576,1.962242,4.02734,-3.078049,-0.837255,-1.812345,1.341157,-1.738068,3.401726,-4.376168,1.131917,"A"
"837","tcl",13.69352,3.393894,-6.726427,7.902699,-9.582589,-1.332755,-4.80763,2.909924,-3.394022,1.229724,-2.554744,3.963118,8.405694,2.910225,3.218174,-2.14566,8.964161,-1.917067,-4.438371,0.06285518,"P"
"838","t",14.41251,5.041976,-3.565122,4.920384,-8.615732,-2.32557,-4.607897,2.758851,-1.633239,0.4352576,-2.902639,4.270937,7.338389,1.836167,5.505077,-0.98449,8.396143,-1.063783,-3.690818,0.8925212,"P"
"839","ay",-0.6206736,-12.4113,2.791024,1.511151,-4.60523,-5.146556,0.2089835,2.905709,0.5684947,-6.562105,-1.838182,1.788086,0.7337981,4.320075,-2.24897,-7.033449,-2.439394,0.9594142,4.209584,-0.1978896,"A"
"840","z",10.31116,5.303043,-2.086702,3.203714,-2.068126,-0.8667517,2.981088,-1.776282,-2.110058,0.3624689,2.115142,3.125555,-2.733898,-1.089227,-0.2227426,-2.559969,-1.954619,0.8743521,1.730736,0.6038704,"F"
"841","axr",-0.9271633,-5.795438,2.589238,-1.948026,0.05677262,-0.7352146,1.918176,0.04242389,-0.1631789,-2.524372,-1.744611,0.05172998,-0.1930332,2.664115,-1.19232,-2.527637,0.7576828,1.919724,0.1307379,-1.996986,"A"
"842","z",1.504495,5.473199,-1.012858,0.7727824,0.7346987,-0.6627399,1.436732,-1.42395,0.7075322,-0.429471,-1.094907,-1.087424,-1.145013,-0.8717063,-0.1375465,-2.05406,-0.273294,0.7596076,-0.2394694,0.4753691,"F"
"843","sh",9.766511,-4.782334,-1.723895,-1.933772,6.111742,2.780543,-0.3683466,2.347201,1.098614,-3.1892,2.18202,-3.362202,-0.764601,-0.8018095,1.74653,-0.7823244,-0.5429339,0.9941634,-0.6927897,0.5760407,"F"
"844","ih",-11.62423,-2.976705,-7.815231,-5.202094,-5.542727,1.141894,-4.943876,-4.258601,2.435978,1.720626,1.025695,1.97636,1.130803,6.4159,0.6783607,0.3363187,-4.815478,-1.597749,2.844638,5.45895,"A"
"845","v",8.88369,4.096673,1.776309,2.571995,6.390286,-0.12507,-0.03471692,9.568882,2.355298,7.583868,-6.464719,0.03283658,2.845368,-2.495659,-3.610922,1.330328,-0.1556112,4.613446,1.429021,4.595549,"F"
"846","axr",0.03506734,-6.925493,1.913164,-5.130991,11.3995,0.2785555,0.1231299,-6.354015,-4.523505,6.793796,-1.72436,0.4830052,-1.938889,1.314395,1.040537,2.151947,8.294858,1.192099,4.917053,0.08776967,"A"
"847","ih",-11.14788,2.408893,-0.01116111,-0.2925196,0.5343881,3.497427,-3.708175,0.9232169,4.105082,5.015187,2.570386,-3.177047,4.019028,1.720963,3.565177,3.211117,1.633471,1.282001,1.042783,2.948655,"A"
"848","ng",6.442251,4.220475,-1.603487,-3.566878,1.224016,3.322191,2.017859,1.858032,5.349281,-0.7774991,3.03377,-3.43186,1.517506,3.253476,3.096927,-2.720371,2.866194,-0.8339784,1.216699,1.078548,"N"
"849","hv",6.441386,4.191221,7.735017,4.243177,2.78514,3.212415,3.383393,4.272597,1.083066,-1.442638,2.085295,-1.01549,1.712097,-0.009167036,-1.882136,1.455261,-1.37011,0.8083011,0.1862643,0.05763934,"X"
"850","ix",-7.884349,4.87739,-6.892825,-7.319677,0.7614574,4.90373,1.68487,-3.227195,-3.544559,0.4093067,0.03304077,2.251047,-1.675479,-0.2097967,0.4126933,1.282687,0.1259151,3.09668,-3.035307,-0.3064992,"A"
"851","pcl",12.73076,-0.4437583,-7.866559,-1.623137,-4.344898,-0.9110531,-2.188632,-1.802923,-2.408264,-1.126303,2.312908,-1.786395,6.751915,-2.115703,-2.615975,-2.315401,0.8100582,0.8562192,1.907544,0.3591734,"P"
"852","p",2.645231,2.671322,13.95309,1.066553,0.2789183,1.123613,1.563969,4.041245,2.388282,-5.240401,1.146266,-1.219091,1.177182,-4.384109,0.6951364,0.3544385,-3.235036,5.706761,1.587542,-1.880663,"P"
"853","uh",-9.333573,-3.865045,-0.5763647,-7.500308,-0.8265408,-8.552886,-2.147173,0.5857088,-2.211857,0.6245427,-3.136319,-3.853218,-0.09912902,2.666791,-3.114097,0.7925824,-2.065249,0.2385405,-3.650176,-0.328566,"A"
"854","q",4.79608,-1.330484,-9.891651,0.3325338,-7.109167,-0.3864458,10.33139,2.363306,-3.292346,4.203695,5.115459,4.468638,-6.05935,2.234166,2.601011,-2.480993,-2.460932,-4.631137,-0.3463748,-1.659293,"P"
"855","aa",-4.1611,-3.206637,10.62843,1.24735,11.61357,-2.761801,5.009844,3.503675,-1.602403,2.781952,-3.214861,-0.8640762,4.78111,0.09671045,-5.551702,1.75256,-2.799325,-2.788737,2.184116,1.526052,"A"
"856","n",4.466666,5.346653,3.785337,7.857594,2.748323,7.573489,-6.901611,0.502457,2.33444,5.564325,-0.9108686,-2.810406,7.281006,4.306624,-0.92354,-2.199085,-1.389509,-1.144975,0.9756447,-0.5016258,"N"
"857","hv",-8.042212,6.27001,3.677025,-4.260619,-1.091063,5.673162,-1.739147,-3.857787,2.557028,2.547904,0.7170319,-0.3121875,1.263188,1.014301,4.644477,2.359736,4.895074,2.425402,-1.381235,0.7465919,"X"
"858","ih",-10.76382,3.98352,-4.294249,-2.144245,-4.152676,7.678,0.1778363,-1.565668,3.56811,1.554064,3.301533,-0.1763942,-0.4682134,-2.72688,-1.117724,2.367881,-2.313936,-0.2372705,-2.596942,2.147565,"A"
"859","z",-3.655836,11.37278,-5.107627,3.057255,-2.915352,3.884824,0.920892,2.717339,2.104035,2.382519,-5.525465,-4.538094,4.848269,1.063521,0.8211223,1.939431,2.673835,1.392398,-0.125465,0.4229343,"F"
"860","kcl",11.7158,-2.131705,1.485104,-4.629478,0.3677173,0.4878824,7.865612,3.235711,1.954061,-0.462114,6.003892,-1.712452,1.885858,-0.526937,5.190529,-1.702389,2.01102,-3.872175,0.6060207,3.085902,"P"
"861","k",11.78227,-0.9571489,5.185968,-2.031465,3.968461,1.64706,8.796464,9.348387,-2.474699,6.011164,1.621108,3.217197,-0.4619584,-3.193925,-0.7998956,4.022833,2.262354,-2.160212,-1.200277,3.76803,"P"
"862","l",-1.13085,-12.25184,-0.1156821,-2.943029,5.082367,0.8324369,-4.813347,-12.54817,-6.530755,4.981403,-2.609526,-1.744066,2.060419,4.948869,2.847545,-2.692008,0.000776872,5.828924,-0.3629032,-5.513464,"A"
"863","ow",-4.27011,-4.491416,-0.6225652,5.595781,-4.619022,3.533628,-7.062219,7.665568,5.214068,-1.854741,3.60089,-3.01761,4.656578,-3.509562,-1.882596,0.2894544,-3.111915,-5.339279,-7.185292,-0.6296817,"A"
"864","z",2.350783,7.314683,1.360676,-0.9484093,1.219461,0.8687889,2.083436,-1.221528,1.072741,-1.154045,-1.354396,-1.418743,-0.5233526,-0.04635647,0.8370443,0.7075057,-0.5892095,1.452005,0.5049574,1.045968,"F"
"865","hh",10.41025,-4.944807,13.3874,-0.6507612,6.699712,-1.037854,-7.814855,6.933267,5.157562,0.1768335,2.633709,-2.348715,-9.866405,-1.318549,0.7082791,-3.711467,1.672935,0.1518452,-3.072484,2.266183,"X"
"866","ey",-13.06934,-12.1425,-1.781315,7.138098,0.271595,-2.195598,-0.27491,-1.515727,-5.011878,5.484263,0.3909084,-9.323952,-4.775674,-0.3971154,2.970124,-2.484543,-4.02186,-6.042675,2.537136,1.358327,"A"
"867","eh",-20.76506,9.892972,-0.5172112,-0.1636728,5.396904,-2.869009,3.256737,-0.03708967,-2.100691,-1.395055,-3.831896,-5.283272,5.296234,3.090434,0.08086773,2.256069,7.657996,1.686068,-1.13331,-0.9410085,"A"
"868","n",18.41956,1.072691,-12.99527,-5.459227,-0.6832614,-0.03802979,0.08633955,-5.571494,0.9067087,-1.566756,2.884016,0.1258415,2.930916,-3.537164,-8.342356,-3.219564,-0.8119913,-2.065299,-0.1483506,0.02273227,"N"
"869","dcl",22.1716,3.116839,8.817598,-4.318733,-5.588026,0.8111431,-0.5455394,2.156132,-5.990714,1.779067,-2.352193,1.962206,-0.4599336,-2.442372,-2.775977,5.600773,3.766061,5.30625,2.770043,-4.549487,"P"
"870","p",3.296652,-12.55053,11.32091,-7.444705,1.047064,-6.18517,-6.206609,-2.917323,7.929464,-3.056395,-3.067318,-3.016807,2.021492,-1.162437,-4.619071,-0.06342119,-1.418253,3.237701,1.687803,-0.07257644,"P"
"871","ae",-15.42187,-13.07985,5.374883,8.842612,-3.903138,-4.508988,-0.02039052,-3.362782,-4.356657,-1.544853,2.522545,-7.125284,-2.526487,-1.350559,-1.17043,0.5242464,7.198783,-2.343994,1.498064,4.908848,"A"
"872","sh",4.77146,15.89233,-5.141515,-1.286424,3.990252,-1.205375,0.6926632,-1.79457,2.314391,-4.731985,1.90426,-1.186244,-2.373361,0.322975,3.615713,-1.44624,-3.201401,-0.483134,1.933458,0.6838201,"F"
"873","axr",5.025864,-10.60222,-0.6832997,-5.265431,0.04861538,4.956395,0.9195925,-1.51947,-0.7510129,9.855639,-0.1361191,2.572564,-4.769831,-0.21866,2.189198,0.1537702,6.305976,-0.8937215,0.6580172,-0.3262816,"A"
"874","aa",-17.45281,5.723344,2.719605,4.682833,0.2687406,1.887159,-8.209618,2.012079,-3.617681,5.902351,1.456223,-5.326505,5.699462,1.738096,1.695566,-1.048518,0.2098698,-1.620015,3.721026,-2.17525,"A"
"875","r",-1.913537,-1.638209,-7.294962,4.848137,1.659839,9.604278,0.5897381,5.444704,-1.794961,-4.063736,6.340947,-3.503982,2.06464,-1.853157,2.833488,4.748761,-1.353319,-1.47519,1.263781,-1.58351,"A"
"876","dh",17.15721,6.253011,-1.335201,-0.03661225,0.3015674,-2.491805,-6.602857,-1.078969,3.134107,4.034729,-2.665363,-3.166938,5.357585,0.3642714,-0.3999241,1.784015,-4.755724,2.080307,-2.583375,2.249358,"F"
"877","iy",2.429733,-2.478157,2.880307,-2.1366,-5.165072,4.742587,3.822724,0.8117531,-2.124115,0.7073511,-1.345354,4.531329,-6.040357,-0.9508097,-0.7292555,2.842683,5.167564,2.644353,0.9159448,-5.872477,"A"
"878","ah",-2.691652,-11.90297,-0.2775424,4.510071,-1.873951,-5.863154,0.9018694,-2.417503,6.30215,-2.567031,0.6538148,-6.104705,3.78346,5.180193,-1.429071,-0.367116,6.544045,-6.145574,5.081615,0.3628333,"A"
"879","dh",-9.523278,7.870816,5.807028,8.496598,-2.240419,-2.252595,2.562444,0.794343,-2.162218,-0.392557,4.591451,1.891265,-8.918146,-3.343067,0.692739,4.761933,-4.73957,3.636596,1.923898,1.12707,"F"
"880","axr",-14.23018,10.62446,3.150725,-3.871173,-1.994422,-6.237971,-0.2309727,2.551888,4.408958,1.412296,-2.776902,-3.646293,0.1580429,-2.15276,-7.380519,-4.102176,-6.035105,-0.2315409,-0.5116502,1.433776,"A"
"881","tcl",6.307812,5.908934,-9.610706,3.302188,4.375625,1.295184,-0.5693925,-3.401507,-0.9034304,-3.516586,2.615558,4.7604,-6.044381,0.9953595,-5.850874,1.608807,-5.945999,1.105476,-1.769347,0.9634294,"P"
"882","ch",11.42064,3.741775,14.35314,-1.242888,-1.325392,1.223015,-0.8699604,-0.5900028,-1.474319,-5.876801,4.665654,-2.192691,1.776088,3.636392,-1.464098,2.296551,4.999597,-1.670658,3.787256,2.722213,"P"
"883","iy",-11.46628,2.645425,-0.04189316,-3.12764,-4.061001,1.837997,4.293549,1.437151,1.795692,1.75082,-6.883978,-4.947767,-2.515037,1.622417,-4.997582,-1.269037,-1.374808,0.5268651,-0.8237339,0.1219254,"A"
"884","s",1.536335,9.512195,-5.420719,-4.433274,4.401589,-0.9410529,-1.503582,-0.4674537,-3.187124,-2.789705,2.209463,0.5545038,-2.635706,-2.24496,-1.303712,-0.5749928,-3.033331,0.8626588,-1.360063,0.5045966,"F"
"885","ao",-13.60759,-1.93858,9.395785,2.854589,1.414774,-1.570325,0.6246794,4.595324,-4.270715,3.06837,-4.814013,-2.323818,3.982886,3.210724,-2.150402,-1.129994,-6.728766,-2.570927,-2.395012,-1.13469,"A"
"886","r",-12.31825,-3.312072,-9.000007,-0.5310152,4.86368,0.93,2.891808,-7.433984,1.078337,-3.722853,8.624011,2.281658,-4.164467,0.2102405,2.160577,1.476451,-2.43152,-1.239261,2.335115,0.6351227,"A"
"887","s",2.622058,13.9759,1.229377,10.06096,-0.6701618,1.493185,0.8813117,1.877691,1.402299,1.461306,1.26455,-4.018945,6.061805,-3.548826,-2.17978,-0.3553628,1.690769,1.944979,-0.5733383,-0.9048214,"F"
"888","ax-h",6.763341,-8.595935,-2.227573,-1.208968,8.817482,8.293396,4.826764,2.01146,5.40075,-1.384028,-1.765847,-0.2092206,-2.947576,-2.379244,-1.265212,1.936481,0.9484361,2.009996,-0.6026642,-1.96636,"X"
"889","z",5.100676,6.467829,7.595293,14.47536,1.874509,4.711538,-0.6578367,-4.309356,-2.203138,2.133627,-0.3373817,-4.381312,3.275443,3.477899,-4.836279,-2.177762,-5.166028,-0.2296188,-1.209175,2.929612,"F"
"890","ax",-8.559434,-5.396927,-7.374362,-10.45741,3.828663,9.848703,-2.341779,2.681385,5.343914,-3.312833,2.809315,2.729612,-4.899985,-2.309228,-1.81161,2.682771,-4.377708,2.728494,-0.227906,1.514528,"A"
"891","v",18.97168,1.043282,-4.532922,6.22204,0.1632591,-1.007816,-1.651539,1.634819,-4.931049,9.390841,-2.746262,-4.763034,0.4932214,1.001156,4.582976,3.298234,5.75135,-0.8564809,1.212492,2.944915,"F"
"892","l",2.721316,-14.44226,4.070653,-6.018716,-4.418983,3.372426,3.203282,-0.6172898,7.278922,6.976001,3.382821,-0.1528125,-1.152815,4.636117,2.954586,-5.169568,-3.989005,-4.811687,2.110095,-0.8907196,"A"
"893","ay",-15.65249,3.002349,1.499562,8.321003,3.33453,-3.662715,-3.441683,3.847308,-2.034196,5.741353,4.052862,0.9839854,5.576961,-0.8516502,4.217134,2.4761,-7.406976,3.227035,-0.2039933,1.586337,"A"
"894","v",-7.720305,18.3371,-6.801395,0.1528083,-0.8593325,5.750595,0.02320242,2.466685,-7.5103,-2.225344,7.127628,0.8317751,-2.584447,0.5403113,-5.932835,0.08568636,-2.512394,0.6958434,-0.133402,-0.6955677,"F"
"895","s",17.56937,-3.935474,-2.434826,-10.25477,4.270593,2.982896,5.732274,4.568754,3.735151,-3.104411,0.2801084,-1.702661,3.4133,-2.625238,1.01321,-0.8140575,5.91906,-1.038692,-0.1033487,4.664767,"F"
"896","tcl",23.22809,-1.49954,9.645386,-2.574936,2.652777,-1.40659,-0.09152444,-2.581569,3.697909,12.6244,-4.995861,1.218934,-3.535812,3.97907,-6.573072,-0.2657261,-3.377979,-2.266018,-0.6921273,3.432938,"P"
"897","t",0.4756257,-2.094098,14.30122,-1.33205,2.683444,1.722756,2.18129,-8.662755,4.530054,6.014946,-5.570828,-0.2733065,3.839461,-4.88871,3.144891,-5.61546,2.006199,2.20771,4.219937,-2.172582,"P"
"898","ao",-16.29604,-3.729813,9.197684,-2.268429,0.05354143,6.161712,-0.275054,-4.243002,-6.590546,3.785931,1.272162,0.1112895,-0.9101752,0.4945143,4.534342,-5.411189,2.771337,5.047775,2.489537,-3.16406,"A"
"899","kcl",-4.951836,15.62065,-4.753978,2.721272,-2.287375,-0.4405517,1.206497,0.826255,-2.469883,2.554962,0.5949919,-3.59288,0.59709,1.458105,-2.284604,8.696868,0.6757131,-1.639757,-0.549257,1.512733,"P"
"900","k",8.337892,-2.383748,0.9798826,-7.400065,4.998073,4.82626,5.377324,4.360643,4.087555,-3.521436,1.858405,-3.351571,-1.47012,2.326914,0.1816752,-2.625486,3.454184,-1.109269,0.6308517,3.250058,"P"
"901","f",13.21039,2.151062,7.421421,5.205597,7.326963,2.387633,-0.08669682,4.19303,-3.267502,-0.4196947,1.299586,-1.588793,-0.4191764,0.5614201,-1.540883,1.450579,-3.581426,1.092173,1.274472,0.7674203,"F"
"902","iy",-8.624794,-3.031271,2.88855,-2.857137,-1.699914,7.700874,1.549834,-3.957398,-1.130296,0.06342779,1.472142,2.889967,-0.7260299,2.243802,2.303653,1.396333,2.818661,2.947262,-0.3541483,-0.3887249,"A"
"903","dcl",-0.2892139,7.407921,-0.3381875,-0.7945746,1.018609,-0.7497409,1.630271,-1.288614,0.7630799,-0.4521401,-0.6540575,-1.85873,-0.8073192,-0.5254393,0.1510186,-0.03411987,-0.02622056,0.6509785,-0.5841249,0.8859742,"P"
"904","d",0.9510582,5.46182,2.169457,-3.168233,1.849201,0.3330141,1.726221,-0.8865283,0.3206522,-1.777468,0.8831064,-2.907407,0.3385203,-1.038264,-0.6455349,0.3198543,-0.3742735,-0.3469098,0.3330458,0.3035858,"P"
"905","sh",4.98367,1.580939,1.192494,-1.123233,5.472493,2.539102,1.105745,1.964964,3.914474,-5.461902,1.105875,-1.99312,0.7792486,0.7646941,-1.135149,0.4233043,0.4185939,2.500369,-1.378219,0.04904415,"F"
"906","iy",-1.095526,-1.686918,-3.002662,1.387278,-3.046546,3.603663,-1.168918,2.314016,-3.446464,1.019852,-2.170218,4.1289,0.3942391,2.703054,-1.729729,-2.215817,0.164224,-1.120467,0.8745856,4.154506,"A"
"907","hv",3.788807,-4.011407,-2.962906,-0.3031719,0.636816,-0.9286444,-0.3623193,2.20786,-3.501243,6.318105,-0.2802706,-2.508755,-1.519279,-2.884659,4.666932,-7.087956,-0.4831176,-0.6219468,-3.155881,3.528314,"X"
"908","eh",-10.63624,-0.5306696,9.526778,14.74085,0.2095536,5.318909,-3.084022,-4.242598,-1.477792,-1.42369,2.238781,-0.02817107,9.166216,1.137965,1.385521,-1.957997,0.5492101,-2.580132,-0.1782553,6.048436,"A"
"909","dcl",20.00112,9.437654,-8.354076,2.625306,-8.099123,-6.748788,-3.046796,-6.751267,-0.8865508,-0.2663036,-3.09841,-4.124446,0.3088708,2.022181,5.487622,0.2428213,5.07414,7.530226,2.750137,3.591137,"P"
"910","y",18.2219,-2.391871,4.727236,-15.97652,-12.24878,-3.082633,8.30473,2.118827,0.9574796,0.3934671,5.091009,-7.06418,-9.101587,-1.500856,5.192684,-4.433051,-3.50141,0.6571476,1.608049,-4.014585,"A"
"911","uh",-24.05804,9.950965,15.69787,13.0194,10.93569,-7.000741,6.562464,1.138787,-3.146834,0.2864299,-2.897703,0.779009,6.287612,4.046618,3.315547,2.514348,-7.086519,-4.555265,-1.317288,1.605554,"A"
"912","r",-1.994507,-6.700331,-20.93682,-5.716175,4.401379,8.159469,2.189173,-10.54291,-2.646064,-6.450108,7.196592,4.458348,4.511964,-3.425271,-8.785243,2.135351,-1.049393,5.202621,-1.307814,3.680406,"A"
"913","dcl",34.69124,8.822859,-1.831678,-1.732944,-9.213972,-0.5428025,-2.251563,1.563897,-1.892159,4.468178,-0.1907322,1.896548,2.638846,-0.1414692,-5.297562,-0.3684289,9.180993,4.57179,-0.4548531,-7.406488,"P"
